,Name,Surname,Division,Manager,Gender,LGBTQ,Nationality,Ethnicity,Disability,Age,Mobile Number,Email,Avez-vous déjà été victime/témoin de harcèlement sexuel ?,Avez-vous déjà été victime/témoin de discrimination raciale ?,Avez-vous déjà été témoin ou victime de discrimination fondée sur le genre au travail ?,Avez-vous déjà été témoin ou victime de discrimination fondée sur l'âge au travail ?,Avez-vous déjà été témoin ou victime de discrimination fondée sur le genre ou l’orientation sexuelle ?,"Avez-vous déjà été témoin ou victime de discrimination fondée sur votre religion, culture ?",Avez-vous déjà été témoin ou victime de discrimination basée sur votre état de santé ou handicap au travail ?,Avez-vous déjà été témoin ou victime de discrimination basée sur votre parentalité ou future parentalité ?,Avez-vous déjà ressenti une situation de harcèlement moral ou psychologique au travail ?,Vous sentez-vous en mesure de signaler en toute sécurité des préoccupations concernant des comportements inappropriés au travail ?,"Dans le cas où vous avez déjà fait un signalement, comment jugez-vous le traitement de votre plainte ? (1 à 10, 10 étant totalement satisfait)",Estimez-vous que l'égalité est respectée au sein de votre entreprise ? (1 à 10),Dans quelle mesure diriez-vous que votre entreprise valorise la diversité et l'inclusion ? (1 à 10),"Vous sentez-vous apprécié pour le travail que vous accomplissez, indépendamment de votre identité sexuelle, de votre race, de votre handicap ou de votre nationalité ? (1 à 10)","Vous sentez-vous heureux au travail ? (1 à 10, 10 étant la meilleure note)","Vous sentez-vous en sécurité au travail ? (1 à 10, 10 étant la meilleure note)","Comment évaluez-vous votre niveau de stress au travail ? (1 à 10, où 10 représente le plus faible niveau de stress)","Comment évaluez-vous la qualité des relations avec vos collègues de travail ? (1 à 10, 10 étant la meilleure note)","Recommanderiez-vous l’entreprise à un proche ? (1 à 10, 10 tout à fait)",Vous sentez-vous respecté(e) et entendu(e) par vos collègues et votre hiérarchie ? (1 à 10),"Pensez-vous que votre entreprise valorise et promeut activement un environnement de travail inclusif ? (1 à 10, 10 tout à fait)","Pensez-vous que la direction et les managers de votre entreprise sont engagés et responsables en matière de diversité et d'inclusion ? (1 à 10, 10 tout à fait)","Selon vous, quelles mesures l'entreprise devrait-elle prendre pour mieux prévenir et gérer les discriminations ?",Votre entreprise propose-t-elle des formations régulières sur la diversité et l'inclusion pour tous les employés ?,L'entreprise dispose-t-elle de politiques claires et accessibles concernant la lutte contre la discrimination et le harcèlement ?,Avez-vous accès à une personne de contact ou à un service dédié pour signaler les incidents de discrimination ou de harcèlement ?,Salaire_Annuel,Pays,Continent,Moyenne_Toutes_Colonnes_Num
5881,Julius,Hobson,Sales,No,Male,No,Canadian,Asian,No,29,360 372 9270,Julius.Hobson@mail.ca,Parfois,Rarement,Rarement,Rarement,Régulièrement,Jamais,Jamais,Souvent,Souvent,Parfois,8,8,8,7,7,3,8,8,9,7,9,5,Promouvoir des politiques de tolérance zéro contre la discrimination.,Non,Non,Non,75240,Canada,North America,7.25
5882,Marigold,Fisher,Sales,No,Male,No,Canadian,Middle Eastern,No,24,323 725 3083,Marigold.Fisher@mail.ca,Rarement,Souvent,Jamais,Parfois,Régulièrement,Jamais,Jamais,Souvent,Jamais,Rarement,7,8,5,10,7,3,7,8,5,9,8,5,Renforcer la sensibilisation à la diversité par des événements culturels et des formations interculturelles.,Non,Non,Non,25088,Canada,North America,6.83
5883,Caleb,Lomax,Operations,No,Female,No,Canadian,White,No,38,113 719 6820,Caleb.Lomax@mail.ca,Parfois,Parfois,Parfois,Rarement,Parfois,Rarement,Rarement,Rarement,Souvent,Jamais,7,8,6,6,9,8,2,2,9,9,10,6,Mettre en place un programme de mentorat pour favoriser l'intégration et l'avancement des minorités.,Non,Non,Non,41011,Canada,North America,6.83
5884,Hayden,Page,Marketing,No,Male,No,Canadian,Asian,No,41,650 822 5973,Hayden.Page@mail.ca,Souvent,Parfois,Souvent,Jamais,Souvent,Rarement,Rarement,Souvent,Régulièrement,Parfois,6,8,9,7,8,9,8,5,9,9,4,7,Mettre en place un programme de mentorat pour favoriser l'intégration et l'avancement des minorités.,Oui,Non,Oui,20484,Canada,North America,7.42
5885,Hank,Brock,Sales,No,Female,Prefer not to say,Vietnamese,White,No,40,397 478 3259,Hank.Brock@mail.ca,Parfois,Souvent,Jamais,Rarement,Rarement,Jamais,Parfois,Jamais,Rarement,Souvent,6,8,8,9,7,9,9,8,3,10,7,2,Promouvoir des politiques de tolérance zéro contre la discrimination.,Non,Non,Oui,87673,Vietnam,Asia,7.17
5886,Manuel,Mitchell,Sales,No,Female,No,American,White,Yes,26,276 851 3126,Manuel.Mitchell@mail.ca,Souvent,Rarement,Souvent,Jamais,Parfois,Rarement,Rarement,Rarement,Rarement,Rarement,7,3,3,10,9,6,6,8,9,9,10,9,Améliorer la transparence dans le traitement des signalements de discrimination.,Non,Non,Non,63018,United States,North America,7.42
5887,Rosie,Rodwell,Sales,No,Male,No,Canadian,Middle Eastern,No,43,180 684 5289,Rosie.Rodwell@mail.ca,Rarement,Jamais,Rarement,Parfois,Parfois,Souvent,Rarement,Jamais,Souvent,Souvent,9,7,9,9,10,7,5,8,8,1,7,9,Mettre en place un programme de mentorat pour favoriser l'intégration et l'avancement des minorités.,Non,Non,Non,35696,Canada,North America,7.42
5888,Domenic,Matthews,Sales,No,Prefer not to say,Prefer not to say,Canadian,White,No,34,286 812 6938,Domenic.Matthews@mail.ca,Jamais,Parfois,Jamais,Régulièrement,Jamais,Jamais,Souvent,Parfois,Souvent,Parfois,7,9,8,6,9,9,6,8,2,6,9,8,Créer un comité dédié à la diversité pour superviser les initiatives inclusives.,Non,Oui,Non,78154,Canada,North America,7.25
5889,Russel,Mcneill,Marketing,No,Male,No,Bangladeshi,White,No,54,131 924 3821,Russel.Mcneill@mail.ca,Parfois,Rarement,Souvent,Rarement,Parfois,Rarement,Souvent,Rarement,Rarement,Parfois,8,7,9,8,8,8,8,9,5,9,5,6,Proposer des formations régulières sur la diversité et l'inclusion.,Non,Oui,Non,74852,Bangladesh,Asia,7.5
5890,Michael,Flett,Marketing,No,Male,No,Canadian,Black,No,40,193 895 1614,Michael.Flett@mail.ca,Souvent,Parfois,Rarement,Parfois,Parfois,Parfois,Souvent,Souvent,Souvent,Parfois,10,9,9,8,10,3,8,8,8,1,6,8,Promouvoir des politiques de tolérance zéro contre la discrimination.,Non,Non,Non,74097,Canada,North America,7.33
5891,Juliette,Doherty,Sales,No,Female,No,Canadian,White,No,54,117 287 5409,Juliette.Doherty@mail.ca,Souvent,Parfois,Souvent,Rarement,Rarement,Rarement,Jamais,Rarement,Rarement,Rarement,7,9,8,7,10,5,4,7,7,7,9,7,Créer un comité dédié à la diversité pour superviser les initiatives inclusives.,Non,Oui,Non,38695,Canada,North America,7.25
5892,Moira,Collins,Sales,No,Female,No,German,Middle Eastern,No,25,613 458 4438,Moira.Collins@mail.ca,Jamais,Jamais,Régulièrement,Souvent,Rarement,Rarement,Jamais,Rarement,Rarement,Rarement,8,8,10,7,5,9,5,8,5,9,4,3,Améliorer la transparence dans le traitement des signalements de discrimination.,Oui,Non,Non,67616,Germany,Europe,6.75
5893,Doug,Russel,IT,Yes,Female,No,British,White,No,52,995 735 9104,Doug.Russel@mail.ca,Souvent,Rarement,Jamais,Rarement,Parfois,Souvent,Jamais,Jamais,Rarement,Rarement,8,9,5,5,5,7,3,10,9,6,5,6,Améliorer la transparence dans le traitement des signalements de discrimination.,Non,Oui,Oui,81597,United Kingdom,Europe,6.5
5894,Johnathan,Owen,HR,No,Female,No,Chilean,White,No,44,414 867 6222,Johnathan.Owen@mail.ca,Jamais,Régulièrement,Parfois,Souvent,Rarement,Parfois,Jamais,Rarement,Jamais,Parfois,10,8,4,7,9,2,7,7,4,7,9,7,Proposer des formations régulières sur la diversité et l'inclusion.,Non,Non,Oui,32406,Chile,South America,6.75
5895,Havana,Holmes,Marketing,No,Male,Yes,Mexican,White,No,37,936 894 4934,Havana.Holmes@mail.ca,Rarement,Rarement,Souvent,Parfois,Jamais,Régulièrement,Rarement,Jamais,Parfois,Parfois,7,4,7,5,9,7,9,6,4,9,9,7,Proposer des formations régulières sur la diversité et l'inclusion.,Non,Oui,Non,27388,Mexico,North America,6.92
5896,Eduardo,Rosenbloom,HR,No,Male,No,English,White,No,62,222 474 3150,Eduardo.Rosenbloom@mail.ca,Rarement,Rarement,Jamais,Souvent,Rarement,Souvent,Rarement,Parfois,Jamais,Rarement,5,8,8,9,9,9,8,5,8,7,9,8,Améliorer la transparence dans le traitement des signalements de discrimination.,Oui,Non,Non,24255,United Kingdom,Europe,7.75
5897,Sydney,Roman,Finance,No,Male,No,Canadian,Asian,No,58,820 721 3209,Sydney.Roman@mail.ca,Rarement,Rarement,Jamais,Parfois,Rarement,Rarement,Rarement,Régulièrement,Jamais,Régulièrement,8,8,9,6,7,9,8,8,10,8,9,10,Proposer des formations régulières sur la diversité et l'inclusion.,Non,Non,Non,32866,Canada,North America,8.33
5898,Camellia,Exton,IT,No,Male,No,Canadian,White,Yes,55,189 851 3618,Camellia.Exton@mail.ca,Régulièrement,Parfois,Jamais,Parfois,Souvent,Rarement,Parfois,Rarement,Souvent,Rarement,9,10,8,8,5,8,9,7,8,6,8,8,Proposer des formations régulières sur la diversité et l'inclusion.,Non,Non,Non,80918,Canada,North America,7.83
5899,Nate,Nanton,HR,No,Female,No,Indian,White,Yes,35,473 324 7517,Nate.Nanton@mail.ca,Rarement,Souvent,Régulièrement,Rarement,Rarement,Parfois,Souvent,Régulièrement,Parfois,Rarement,5,10,6,6,7,8,3,6,9,10,2,7,Améliorer la transparence dans le traitement des signalements de discrimination.,Oui,Non,Non,81228,India,Asia,6.58
5900,Mason,Woodley,Sales,No,Male,No,Canadian,White,No,31,155 408 4483,Mason.Woodley@mail.ca,Régulièrement,Rarement,Rarement,Régulièrement,Régulièrement,Rarement,Rarement,Jamais,Parfois,Souvent,2,8,3,5,8,9,6,8,6,10,7,6,Mettre en place un programme de mentorat pour favoriser l'intégration et l'avancement des minorités.,Non,Oui,Non,39664,Canada,North America,6.5
5901,Henry,Mcgee,Finance,No,Male,Yes,Canadian,White,No,25,399 877 9436,Henry.Mcgee@mail.ca,Rarement,Parfois,Jamais,Souvent,Jamais,Jamais,Parfois,Parfois,Parfois,Régulièrement,7,6,10,9,9,8,10,9,9,9,8,10,Promouvoir des politiques de tolérance zéro contre la discrimination.,Non,Non,Non,77924,Canada,North America,8.67
5902,Marina,Antcliff,Sales,No,Female,No,Nicaraguan,White,No,37,771 420 4945,Marina.Antcliff@mail.ca,Parfois,Régulièrement,Régulièrement,Jamais,Rarement,Souvent,Jamais,Souvent,Parfois,Souvent,4,9,9,8,5,9,5,9,9,10,10,5,Mettre en place un programme de mentorat pour favoriser l'intégration et l'avancement des minorités.,Non,Oui,Oui,68510,Nicaragua,North America,7.67
5903,Nancy,Rodwell,IT,No,Male,No,Zambian,Middle Eastern,No,33,316 355 9457,Nancy.Rodwell@mail.ca,Rarement,Régulièrement,Jamais,Régulièrement,Parfois,Rarement,Rarement,Rarement,Jamais,Rarement,3,4,1,5,4,9,7,9,2,3,5,5,Améliorer la transparence dans le traitement des signalements de discrimination.,Oui,Non,Non,62393,Zambia,Africa,4.75
5904,Nicole,Chapman,Sales,Yes,Male,No,Canadian,Asian,No,64,803 905 1147,Nicole.Chapman@mail.ca,Rarement,Rarement,Jamais,Jamais,Parfois,Jamais,Souvent,Souvent,Souvent,Jamais,5,9,8,7,5,8,3,6,6,6,9,8,Créer un comité dédié à la diversité pour superviser les initiatives inclusives.,Non,Non,Non,51358,Canada,North America,6.67
5905,Benny,Doherty,Sales,Yes,Male,No,Canadian,White,No,28,691 271 9976,Benny.Doherty@mail.ca,Jamais,Régulièrement,Rarement,Parfois,Souvent,Rarement,Jamais,Rarement,Rarement,Souvent,8,7,6,8,8,8,9,5,9,8,8,9,Promouvoir des politiques de tolérance zéro contre la discrimination.,Non,Oui,Non,43938,Canada,North America,7.75
5906,Oliver,Beal,Marketing,No,Male,No,Vietnamese,White,Yes,28,740 632 5731,Oliver.Beal@mail.ca,Rarement,Rarement,Régulièrement,Souvent,Rarement,Parfois,Rarement,Rarement,Souvent,Rarement,10,4,10,7,9,7,3,9,4,8,8,9,Mettre en place un programme de mentorat pour favoriser l'intégration et l'avancement des minorités.,Non,Oui,Non,40646,Vietnam,Asia,7.33
5907,Ramon,Nelson,HR,No,Male,No,Canadian,Black,No,38,411 825 7224,Ramon.Nelson@mail.ca,Souvent,Rarement,Régulièrement,Parfois,Jamais,Souvent,Rarement,Jamais,Régulièrement,Rarement,8,4,6,5,3,7,4,9,8,9,8,3,Créer un comité dédié à la diversité pour superviser les initiatives inclusives.,Non,Non,Non,74141,Canada,North America,6.17
5908,Megan,Baxter,IT,No,Female,No,Canadian,White,No,25,600 110 1701,Megan.Baxter@mail.ca,Souvent,Jamais,Souvent,Jamais,Jamais,Régulièrement,Rarement,Parfois,Jamais,Régulièrement,6,10,8,5,6,9,10,9,2,7,2,9,Améliorer la transparence dans le traitement des signalements de discrimination.,Oui,Non,Non,36259,Canada,North America,6.92
5909,Joseph,Collins,Finance,No,Female,No,Canadian,White,No,62,619 469 1072,Joseph.Collins@mail.ca,Parfois,Rarement,Jamais,Parfois,Jamais,Souvent,Parfois,Rarement,Parfois,Souvent,3,9,3,6,8,6,10,7,9,5,10,8,Améliorer la transparence dans le traitement des signalements de discrimination.,Oui,Non,Non,42756,Canada,North America,7.0
5910,Melody,Heaton,Sales,No,Male,No,Canadian,Asian,No,40,512 689 4754,Melody.Heaton@mail.ca,Parfois,Souvent,Rarement,Souvent,Régulièrement,Souvent,Rarement,Parfois,Rarement,Rarement,9,8,8,3,10,7,8,7,5,5,10,7,Renforcer la sensibilisation à la diversité par des événements culturels et des formations interculturelles.,Non,Oui,Non,34807,Canada,North America,7.25
5911,Nathan,Swan,Sales,Yes,Male,No,Canadian,White,No,31,302 393 1739,Nathan.Swan@mail.ca,Parfois,Jamais,Jamais,Jamais,Rarement,Jamais,Rarement,Souvent,Rarement,Souvent,3,9,3,8,9,9,10,10,9,8,7,6,Proposer des formations régulières sur la diversité et l'inclusion.,Non,Oui,Non,80668,Canada,North America,7.58
5912,Hank,Uttridge,Finance,No,Male,No,Canadian,White,No,29,908 168 7286,Hank.Uttridge@mail.ca,Parfois,Parfois,Rarement,Jamais,Rarement,Souvent,Rarement,Jamais,Rarement,Régulièrement,8,10,9,8,5,6,5,8,3,10,2,9,Mettre en place un programme de mentorat pour favoriser l'intégration et l'avancement des minorités.,Non,Oui,Non,85652,Canada,North America,6.92
5913,Doris,Freeburn,Sales,No,Male,No,Canadian,White,Yes,31,505 863 1529,Doris.Freeburn@mail.ca,Parfois,Parfois,Régulièrement,Rarement,Jamais,Rarement,Parfois,Jamais,Souvent,Jamais,10,3,9,9,4,8,8,6,6,8,3,3,Promouvoir des politiques de tolérance zéro contre la discrimination.,Non,Non,Non,55841,Canada,North America,6.42
5914,Hank,Simpson,Sales,No,Male,No,Indian,White,No,34,369 640 8068,Hank.Simpson@mail.ca,Jamais,Parfois,Régulièrement,Rarement,Souvent,Parfois,Jamais,Rarement,Parfois,Parfois,6,9,8,9,9,10,7,10,2,1,4,9,Promouvoir des politiques de tolérance zéro contre la discrimination.,Non,Non,Non,85431,India,Asia,7.0
5915,Martin,Samuel,Marketing,No,Male,Yes,Canadian,White,No,40,156 896 5093,Martin.Samuel@mail.ca,Jamais,Rarement,Rarement,Régulièrement,Rarement,Jamais,Régulièrement,Régulièrement,Rarement,Jamais,8,7,5,7,6,7,8,10,5,10,10,10,Renforcer la sensibilisation à la diversité par des événements culturels et des formations interculturelles.,Non,Non,Oui,21296,Canada,North America,7.75
5916,Denny,Waterson,Finance,No,Male,No,Philippine,White,No,41,230 384 2722,Denny.Waterson@mail.ca,Parfois,Jamais,Parfois,Souvent,Rarement,Souvent,Jamais,Régulièrement,Rarement,Parfois,7,9,9,7,6,6,2,10,3,9,8,10,Renforcer la sensibilisation à la diversité par des événements culturels et des formations interculturelles.,Oui,Non,Non,36180,Philippines,Asia,7.17
5917,Clint,Benfield,Sales,No,Female,No,American,White,No,31,124 235 6740,Clint.Benfield@mail.ca,Souvent,Rarement,Parfois,Rarement,Rarement,Jamais,Rarement,Souvent,Rarement,Souvent,4,8,9,5,4,10,8,8,2,9,5,6,Créer un comité dédié à la diversité pour superviser les initiatives inclusives.,Non,Non,Non,86917,United States,North America,6.5
5918,Henry,Phillips,IT,Yes,Male,No,British,White,No,48,268 741 2751,Henry.Phillips@mail.ca,Parfois,Rarement,Rarement,Jamais,Rarement,Rarement,Parfois,Rarement,Souvent,Rarement,7,9,4,3,10,9,8,9,10,8,8,3,Proposer des formations régulières sur la diversité et l'inclusion.,Non,Oui,Oui,40150,United Kingdom,Europe,7.33
5919,Robyn,Dempsey,IT,No,Transgender,Prefer not to say,Indian,White,Yes,29,788 188 8865,Robyn.Dempsey@mail.ca,Jamais,Parfois,Jamais,Souvent,Rarement,Régulièrement,Souvent,Parfois,Jamais,Régulièrement,3,5,2,5,10,7,10,8,6,5,7,7,Proposer des formations régulières sur la diversité et l'inclusion.,Non,Non,Oui,59987,India,Asia,6.25
5920,Peter,Reynolds,RD,No,Prefer not to say,No,Canadian,White,No,52,156 718 6130,Peter.Reynolds@mail.ca,Rarement,Jamais,Parfois,Rarement,Souvent,Rarement,Souvent,Parfois,Jamais,Parfois,9,3,8,7,5,8,10,9,6,8,9,8,Proposer des formations régulières sur la diversité et l'inclusion.,Non,Non,Non,65834,Canada,North America,7.5
5921,Russel,Roman,Marketing,No,Female,No,American,White,No,29,100 698 2431,Russel.Roman@mail.ca,Jamais,Parfois,Parfois,Rarement,Rarement,Jamais,Rarement,Rarement,Parfois,Parfois,9,9,7,8,5,9,5,4,10,2,7,10,Renforcer la sensibilisation à la diversité par des événements culturels et des formations interculturelles.,Non,Non,Oui,37362,United States,North America,7.08
5922,Chuck,Pearson,IT,No,Male,No,Canadian,White,Yes,41,530 354 3426,Chuck.Pearson@mail.ca,Souvent,Rarement,Parfois,Parfois,Rarement,Rarement,Rarement,Jamais,Rarement,Parfois,10,8,7,10,6,5,9,8,8,6,7,8,Promouvoir des politiques de tolérance zéro contre la discrimination.,Non,Non,Non,77970,Canada,North America,7.67
5923,Diane,Martin,Marketing,No,Female,Yes,Canadian,Asian,No,37,927 954 1993,Diane.Martin@mail.ca,Rarement,Rarement,Souvent,Parfois,Rarement,Parfois,Régulièrement,Jamais,Parfois,Parfois,10,8,9,5,7,5,1,7,6,2,2,10,Améliorer la transparence dans le traitement des signalements de discrimination.,Oui,Non,Non,31488,Canada,North America,6.0
5924,Percy,Murphy,Sales,No,Male,Yes,Canadian,Asian,Yes,43,129 969 6975,Percy.Murphy@mail.ca,Rarement,Souvent,Souvent,Souvent,Parfois,Jamais,Jamais,Rarement,Régulièrement,Rarement,8,7,6,8,6,8,6,10,9,8,6,5,Mettre en place un programme de mentorat pour favoriser l'intégration et l'avancement des minorités.,Non,Non,Non,13451,Canada,North America,7.25
5925,Catherine,Ellis,Operations,No,Male,No,Indian,White,Yes,29,690 159 1988,Catherine.Ellis@mail.ca,Jamais,Rarement,Jamais,Rarement,Rarement,Régulièrement,Régulièrement,Jamais,Souvent,Parfois,7,8,8,10,6,4,10,7,9,10,9,10,Proposer des formations régulières sur la diversité et l'inclusion.,Non,Non,Non,30559,India,Asia,8.17
5926,Diane,Hancock,HR,No,Male,Yes,Canadian,White,No,26,918 683 6382,Diane.Hancock@mail.ca,Rarement,Rarement,Jamais,Rarement,Rarement,Parfois,Parfois,Rarement,Jamais,Souvent,5,2,8,5,6,5,8,2,10,7,3,7,Proposer des formations régulières sur la diversité et l'inclusion.,Non,Non,Non,87533,Canada,North America,5.67
5927,Agnes,Robinson,RD,No,Female,No,Canadian,White,No,28,757 126 9900,Agnes.Robinson@mail.ca,Souvent,Souvent,Parfois,Parfois,Rarement,Régulièrement,Jamais,Régulièrement,Jamais,Parfois,5,9,7,5,3,9,3,9,9,3,8,8,Proposer des formations régulières sur la diversité et l'inclusion.,Oui,Oui,Non,79341,Canada,North America,6.5
5928,Alexander,Tanner,HR,Yes,Male,Yes,Canadian,Other,No,33,947 626 7981,Alexander.Tanner@mail.ca,Rarement,Rarement,Jamais,Parfois,Rarement,Parfois,Rarement,Jamais,Souvent,Rarement,6,10,4,7,5,9,9,8,8,4,9,8,Proposer des formations régulières sur la diversité et l'inclusion.,Non,Non,Non,46093,Canada,North America,7.25
5929,Gabriel,Rothwell,Sales,No,Female,No,Indian,White,Prefer not to say,44,243 873 9909,Gabriel.Rothwell@mail.ca,Jamais,Jamais,Souvent,Régulièrement,Rarement,Régulièrement,Parfois,Parfois,Rarement,Parfois,5,4,7,4,9,3,7,9,9,8,9,6,Mettre en place un programme de mentorat pour favoriser l'intégration et l'avancement des minorités.,Non,Non,Non,56989,India,Asia,6.67
5930,Sabrina,Allen,Marketing,No,Female,No,Canadian,White,No,32,655 997 3452,Sabrina.Allen@mail.ca,Jamais,Parfois,Parfois,Parfois,Souvent,Souvent,Souvent,Jamais,Régulièrement,Rarement,9,5,6,1,5,3,7,9,4,3,8,9,Créer un comité dédié à la diversité pour superviser les initiatives inclusives.,Non,Oui,Oui,65237,Canada,North America,5.75
5931,Aisha,Ramsey,RD,No,Male,No,Polish,White,No,28,657 765 8956,Aisha.Ramsey@mail.ca,Parfois,Rarement,Parfois,Souvent,Parfois,Rarement,Rarement,Souvent,Régulièrement,Parfois,9,9,10,6,5,10,8,9,5,7,5,10,Améliorer la transparence dans le traitement des signalements de discrimination.,Non,Non,Oui,27385,Poland,Europe,7.75
5932,Anthony,Roscoe,Sales,No,Male,No,Canadian,Asian,No,26,436 181 1866,Anthony.Roscoe@mail.ca,Souvent,Jamais,Rarement,Jamais,Jamais,Souvent,Souvent,Rarement,Jamais,Rarement,6,9,10,9,8,8,10,7,5,8,8,9,Créer un comité dédié à la diversité pour superviser les initiatives inclusives.,Non,Non,Non,68120,Canada,North America,8.08
5933,Rosalie,Wilde,HR,No,Female,No,Canadian,White,No,43,108 611 9952,Rosalie.Wilde@mail.ca,Parfois,Parfois,Rarement,Rarement,Souvent,Jamais,Jamais,Souvent,Parfois,Jamais,2,9,8,7,8,9,9,7,6,7,8,8,Proposer des formations régulières sur la diversité et l'inclusion.,Non,Non,Non,46478,Canada,North America,7.33
5934,Lucy,Baxter,IT,No,Male,No,Canadian,Asian,No,34,460 900 1561,Lucy.Baxter@mail.ca,Jamais,Régulièrement,Jamais,Jamais,Parfois,Rarement,Jamais,Rarement,Souvent,Rarement,9,9,8,8,7,8,8,9,5,5,10,9,Créer un comité dédié à la diversité pour superviser les initiatives inclusives.,Oui,Non,Non,23436,Canada,North America,7.92
5935,Harvey,Robinson,HR,No,Male,No,Canadian,White,Yes,42,596 245 2667,Harvey.Robinson@mail.ca,Rarement,Souvent,Parfois,Souvent,Jamais,Régulièrement,Parfois,Souvent,Rarement,Parfois,8,3,9,6,3,7,7,8,10,6,3,5,Mettre en place un programme de mentorat pour favoriser l'intégration et l'avancement des minorités.,Non,Non,Oui,85906,Canada,North America,6.25
5936,Candace,Hobbs,IT,No,Male,No,American,White,No,57,175 686 1708,Candace.Hobbs@mail.ca,Parfois,Souvent,Rarement,Parfois,Jamais,Régulièrement,Rarement,Souvent,Rarement,Parfois,10,8,9,3,8,9,8,8,5,8,6,10,Créer un comité dédié à la diversité pour superviser les initiatives inclusives.,Non,Non,Oui,76052,United States,North America,7.67
5937,Tara,Vaughan,RD,No,Male,No,Canadian,White,No,26,272 721 9071,Tara.Vaughan@mail.ca,Rarement,Souvent,Rarement,Parfois,Rarement,Jamais,Jamais,Jamais,Rarement,Rarement,8,8,7,8,9,9,9,7,8,3,10,9,Promouvoir des politiques de tolérance zéro contre la discrimination.,Non,Non,Oui,36662,Canada,North America,7.92
5938,Dorothy,Hopkinson,Operations,No,Male,No,German,White,No,38,545 531 6554,Dorothy.Hopkinson@mail.ca,Parfois,Parfois,Rarement,Régulièrement,Rarement,Rarement,Régulièrement,Régulièrement,Rarement,Souvent,3,9,8,4,9,10,9,4,5,9,4,10,Améliorer la transparence dans le traitement des signalements de discrimination.,Non,Non,Oui,24654,Germany,Europe,7.0
5939,Johnny,Fleming,Sales,Yes,Female,Yes,Irish,White,Yes,43,456 164 7580,Johnny.Fleming@mail.ca,Rarement,Rarement,Rarement,Rarement,Jamais,Jamais,Souvent,Rarement,Régulièrement,Souvent,5,8,5,8,5,7,7,8,9,8,9,6,Promouvoir des politiques de tolérance zéro contre la discrimination.,Non,Non,Non,44508,Ireland,Europe,7.08
5940,Francesca,Miller,IT,No,Female,Yes,Russian,White,No,40,924 724 1815,Francesca.Miller@mail.ca,Rarement,Parfois,Parfois,Rarement,Parfois,Jamais,Souvent,Souvent,Jamais,Jamais,4,9,9,1,9,10,10,7,7,5,10,7,Renforcer la sensibilisation à la diversité par des événements culturels et des formations interculturelles.,Non,Non,Oui,34846,Russia,Europe,7.33
5941,Cassandra,Blackwall,Sales,No,Male,No,Indian,White,No,41,268 449 1540,Cassandra.Blackwall@mail.ca,Jamais,Régulièrement,Souvent,Parfois,Rarement,Jamais,Parfois,Jamais,Parfois,Jamais,5,4,10,1,8,4,9,5,9,6,5,7,Proposer des formations régulières sur la diversité et l'inclusion.,Non,Non,Non,17134,India,Asia,6.08
5942,Melinda,Dubois,Sales,No,Male,Yes,Canadian,Asian,No,39,330 600 3674,Melinda.Dubois@mail.ca,Souvent,Rarement,Rarement,Parfois,Parfois,Rarement,Rarement,Rarement,Rarement,Parfois,8,5,3,10,8,7,4,9,5,4,5,9,Renforcer la sensibilisation à la diversité par des événements culturels et des formations interculturelles.,Non,Oui,Non,88060,Canada,North America,6.42
5943,Maddison,Knight,IT,Yes,Male,No,Canadian,White,No,56,133 956 2040,Maddison.Knight@mail.ca,Souvent,Rarement,Rarement,Jamais,Souvent,Rarement,Jamais,Souvent,Parfois,Parfois,7,9,8,1,5,6,8,6,5,1,10,6,Proposer des formations régulières sur la diversité et l'inclusion.,Non,Oui,Non,39391,Canada,North America,6.0
5944,Charlize,Addison,IT,No,Male,No,Canadian,White,No,40,546 562 1549,Charlize.Addison@mail.ca,Rarement,Jamais,Jamais,Rarement,Parfois,Régulièrement,Rarement,Parfois,Jamais,Rarement,10,9,8,7,7,10,5,8,4,7,3,8,Renforcer la sensibilisation à la diversité par des événements culturels et des formations interculturelles.,Oui,Non,Non,22770,Canada,North America,7.17
5945,Julian,Underhill,Marketing,No,Male,No,Canadian,White,No,33,306 677 2302,Julian.Underhill@mail.ca,Souvent,Jamais,Régulièrement,Jamais,Jamais,Jamais,Souvent,Jamais,Souvent,Rarement,9,7,8,9,10,9,4,5,8,8,5,9,Proposer des formations régulières sur la diversité et l'inclusion.,Non,Non,Non,78374,Canada,North America,7.58
5946,Diane,Baker,RD,No,Female,No,American,White,No,63,950 169 5591,Diane.Baker@mail.ca,Jamais,Souvent,Souvent,Jamais,Souvent,Jamais,Rarement,Souvent,Jamais,Rarement,8,9,1,5,6,8,5,7,10,5,9,1,Renforcer la sensibilisation à la diversité par des événements culturels et des formations interculturelles.,Non,Non,Non,13289,United States,North America,6.17
5947,Johnathan,Reynolds,Marketing,No,Male,No,Canadian,Black,No,44,425 282 2706,Johnathan.Reynolds@mail.ca,Jamais,Rarement,Parfois,Parfois,Souvent,Parfois,Rarement,Rarement,Parfois,Régulièrement,10,9,5,8,5,10,7,9,3,6,9,6,Mettre en place un programme de mentorat pour favoriser l'intégration et l'avancement des minorités.,Non,Oui,Non,33038,Canada,North America,7.25
